2026-05-19 21:20:52,724 | WARNING | orchestration.deerflow_bridge | DeerFlow falling back to OpenRouter model openrouter/owl-alpha
2026-05-19 21:20:53,576 | WARNING | orchestration.openai_fallback | OpenRouter fallback request failed: 429 Client Error: Too Many Requests for url: https://openrouter.ai/api/v1/chat/completions
2026-05-19 21:20:53,583 | WARNING | orchestration.deerflow_bridge | DeerFlow gateway returned no text and local CLI is unavailable.
2026-05-19 21:20:55,117 | INFO | orchestration.hermes_bridge | Hermes prompt started; chars=22798.
2026-05-19 21:22:02,302 | INFO | orchestration.hermes_bridge | Hermes prompt completed; chars=2455.
2026-05-19 21:22:02,382 | INFO | orchestration.hermes_bridge | Hermes review started; stage=pre_simulation strategy=momentum expression=rank(ts_mean(returns, 10) / ts_std_dev(returns, 60)) * rank(1 - ts_corr(volume, returns, 5)).
2026-05-19 21:22:02,384 | INFO | orchestration.hermes_bridge | Hermes prompt started; chars=5615.
2026-05-19 21:23:16,654 | INFO | orchestration.hermes_bridge | Hermes prompt completed; chars=4678.
2026-05-19 21:23:16,654 | INFO | orchestration.hermes_bridge | Hermes review completed; stage=pre_simulation verdict=WARN confidence=0.560 expression=rank(ts_mean(returns, 10) / ts_std_dev(returns, 60)) * rank(1 - ts_corr(volume, returns, 5)).
2026-05-19 21:23:16,655 | INFO | orchestration.deerflow_bridge | DeerFlow review started; stage=pre_simulation strategy=momentum expression=rank(ts_mean(returns, 10) / ts_std_dev(returns, 60)) * rank(1 - ts_corr(volume, returns, 5)).
2026-05-19 21:23:25,635 | WARNING | orchestration.deerflow_bridge | DeerFlow falling back to OpenRouter model openrouter/owl-alpha
2026-05-19 21:24:15,951 | INFO | orchestration.deerflow_bridge | DeerFlow review completed; stage=pre_simulation verdict=PASS confidence=0.740 expression=rank(ts_mean(returns, 10) / ts_std_dev(returns, 60)) * rank(1 - ts_corr(volume, returns, 5)).
2026-05-19 21:24:15,959 | INFO | orchestration.hermes_bridge | Hermes review started; stage=post_simulation strategy=momentum expression=rank(ts_mean(returns, 10) / ts_std_dev(returns, 60)) * rank(1 - ts_corr(volume, returns, 5)).
2026-05-19 21:24:15,961 | INFO | orchestration.hermes_bridge | Hermes prompt started; chars=5636.
2026-05-19 21:25:38,129 | INFO | orchestration.hermes_bridge | Hermes prompt completed; chars=5406.
2026-05-19 21:25:38,137 | INFO | orchestration.hermes_bridge | Hermes review completed; stage=post_simulation verdict=PASS confidence=0.760 expression=rank(ts_mean(returns, 10) / ts_std_dev(returns, 60)) * rank(1 - ts_corr(volume, returns, 5)).
